Region,Lobe,Hemisphere,Region_Type,Degree,Degree_Cent,Strength,Betweenness,Closeness,Eigenvector,Complex_Close_T2,Complex_Close_T3,Complex_Btwn_T2,Degree_Cent_n,Strength_n,Betweenness_n,Closeness_n,Eigenvector_n,Complex_Close_T2_n,Complex_Close_T3_n,Composite_Hub
L_bankssts,Temporal,L,Cortical,7,0.08641975308641975,49.19587209364671,0.0,3.378340419230237,0.02271247740456595,0.4090909090909091,0.36818181818181817,1.0,0.021739130434782608,0.020076533216881316,0.0,0.0,0.026757909613719814,0.04046879046879052,0.03538223140495866,0.02063208501987613
L_caudalanteriorcingulate,Cingulate,L,Cortical,26,0.32098765432098764,158.39875064125525,0.00030864197530864197,4.3606639304499195,0.09218496618810702,0.5869565217391305,0.5294117647058824,1.0,0.43478260869565216,0.3332843348961605,0.0031847133757961785,0.3861076664583452,0.40329246409492014,0.7548309178743963,0.7326203208556148,0.4354432894644122
L_caudalmiddlefrontal,Frontal,L,Cortical,25,0.30864197530864196,185.62508553351842,0.0033950617283950617,4.871901925109497,0.1103466778159814,0.5704225352112676,0.5159235668789809,1.0,0.41304347826086957,0.41137294036888084,0.03503184713375797,0.5870525760205365,0.5017272850745573,0.6884254243409172,0.6742906774753907,0.47299203266784434
L_cuneus,Occipital,L,Cortical,22,0.2716049382716049,156.21787009423093,0.00030864197530864197,4.47570372740621,0.08613668104310793,0.5472972972972973,0.5328947368421053,0.9876543209876543,0.34782608695652173,0.32702929097292915,0.0031847133757961785,0.43132469226024706,0.3705113101111718,0.5955474705474704,0.7476824162679426,0.4033008543560113
L_entorhinal,Temporal,L,Cortical,19,0.2345679012345679,115.04772709869621,0.0006172839506172839,3.675043131307265,0.05533079396273812,0.47093023255813954,0.43548387096774194,0.9876543209876543,0.2826086956521739,0.20894806313394568,0.006369426751592357,0.11662063514053887,0.20354621111570756,0.2888342277877161,0.32642961876832843,0.2047652683357147
L_fusiform,Temporal,L,Cortical,29,0.35802469135802467,208.5230531518885,0.006172839506172839,4.584812557378766,0.10533304877551836,0.5364238410596026,0.48214285714285715,0.9876543209876543,0.5,0.4770472357359792,0.06369426751592357,0.4742105188230224,0.4745538728341137,0.551876379690949,0.5282061688311688,0.4385126347758795
L_inferiorparietal,Parietal,L,Cortical,23,0.2839506172839506,182.24599766663437,0.011111111111111112,4.715563968587562,0.10041659263910829,0.5664335664335665,0.4879518072289157,0.9753086419753086,0.3695652173913043,0.4016812848324705,0.11464968152866244,0.525603081142213,0.4479071288730984,0.6724045185583647,0.5533269441401971,0.4407339794951873
L_inferiortemporal,Temporal,L,Cortical,31,0.38271604938271603,218.48052574385724,0.005864197530864197,4.7823140721747555,0.11040135133671189,0.5827338129496403,0.5192307692307693,1.0,0.5434782608695652,0.505606538771682,0.06050955414012739,0.5518395769987604,0.5020236105716087,0.7378712414683639,0.6885926573426574,0.5128459200232521
L_isthmuscingulate,Cingulate,L,Cortical,37,0.4567901234567901,238.7392270176834,0.0021604938271604936,4.804509173870435,0.1262526357598983,0.5912408759124088,0.5472972972972973,0.9876543209876543,0.6739130434782609,0.5637110812090503,0.022292993630573247,0.5605634839648922,0.5879361267740413,0.772038180797305,0.8099662162162159,0.5700601608671912
L_lateraloccipital,Occipital,L,Cortical,24,0.2962962962962963,186.74486765504113,0.0024691358024691358,4.707757255765079,0.09757964953511855,0.5364238410596026,0.4550561797752809,0.9876543209876543,0.391304347826087,0.41458461849775896,0.025477707006369428,0.5225346096700638,0.43253115593109603,0.551876379690949,0.41106996935648615,0.39276839828268717
L_lateralorbitofrontal,Frontal,L,Cortical,35,0.43209876543209874,239.33821273928845,0.010802469135802469,4.637989213622496,0.12349617364846219,0.6136363636363636,0.5664335664335665,0.9753086419753086,0.6304347826086957,0.5654290487534628,0.11146496815286625,0.49511189644232745,0.572996353473163,0.861985236985237,0.8927209154481881,0.5900204574091343
L_lingual,Occipital,L,Cortical,28,0.345679012345679,209.76747622805115,0.004320987654320987,4.613058899068409,0.11220836127076725,0.5625,0.54,1.0,0.4782608695652174,0.4806164000403244,0.044585987261146494,0.4853128989973824,0.5118174396451949,0.6566061253561253,0.7784090909090909,0.4908012588249259
L_medialorbitofrontal,Frontal,L,Cortical,38,0.4691358024691358,263.9956374009368,0.019444444444444445,4.925660440746201,0.13756488230927533,0.6044776119402985,0.5586206896551724,0.9629629629629629,0.6956521739130435,0.6361496916161911,0.20063694267515925,0.6081826566789749,0.6492474715845397,0.8252009184845004,0.8589341692789967,0.6391434320330579
L_middletemporal,Temporal,L,Cortical,28,0.345679012345679,209.50738027003263,0.008024691358024692,4.584818290027629,0.1068560609204879,0.5225806451612903,0.47093023255813954,0.9753086419753086,0.4782608695652174,0.47987041161657484,0.08280254777070065,0.47421277207223195,0.4828084597866891,0.4962779156327543,0.4797172304439746,0.424850029555449
L_parahippocampal,Temporal,L,Cortical,24,0.2962962962962963,151.34040656805607,0.0,4.095304589156475,0.07944346660719177,0.5192307692307693,0.44505494505494503,1.0,0.391304347826087,0.31304010269216337,0.0,0.28180671583514233,0.33423469817738566,0.48282380013149256,0.36781968031968015,0.31014704928313586
L_paracentral,Frontal,L,Cortical,20,0.24691358024691357,152.45787973164153,0.000925925925925926,4.642760515782313,0.09587477138252946,0.525974025974026,0.4550561797752809,0.9753086419753086,0.30434782608695654,0.31624515843480666,0.009554140127388536,0.4969872830352913,0.4232908718003517,0.5099067599067598,0.41106996935648615,0.3530574298211487
L_parsopercularis,Frontal,L,Cortical,24,0.2962962962962963,173.4851610692169,0.0006172839506172839,4.502310807259524,0.09984130121351725,0.5472972972972973,0.48502994011976047,1.0,0.391304347826087,0.3765540866482923,0.006369426751592357,0.4417827515412249,0.4447891018033226,0.5955474705474704,0.54069134458356,0.39957693281450707
L_parsorbitalis,Frontal,L,Cortical,18,0.2222222222222222,118.28794350516293,0.0,3.8836068247295437,0.0663663851041346,0.5126582278481012,0.47368421052631576,1.0,0.2608695652173913,0.2182414175869799,0.0,0.1985977435528415,0.26335810884128386,0.4564264849074973,0.491626794258373,0.2698743020520524
L_parstriangularis,Frontal,L,Cortical,18,0.2222222222222222,136.4065171994488,0.00030864197530864197,4.228506984585669,0.08008042845148837,0.5159235668789809,0.47928994082840237,1.0,0.2608695652173913,0.27020780081631257,0.0031847133757961785,0.33416265100152176,0.3376869732932379,0.469541074636616,0.5158687466379773,0.3130745035684076
L_pericalcarine,Occipital,L,Cortical,25,0.30864197530864196,167.06044695652122,0.0,4.317212125212293,0.08919672068843025,0.5472972972972973,0.5294117647058824,0.9753086419753086,0.41304347826086957,0.35812718609019045,0.0,0.36902869508885033,0.3870964459645345,0.5955474705474704,0.7326203208556148,0.40792337097250425
L_postcentral,Parietal,L,Cortical,25,0.30864197530864196,201.53900379226764,0.008641975308641974,5.007228853512939,0.10882880562806589,0.5586206896551724,0.4682080924855491,0.9506172839506173,0.41304347826086957,0.45701609025850193,0.08917197452229299,0.6402435705737998,0.49350055622053685,0.641025641025641,0.4679453494482395,0.4574209514728402
L_posteriorcingulate,Cingulate,L,Cortical,23,0.2839506172839506,152.28826199763526,0.000925925925925926,4.345795739976631,0.09252898551944429,0.5472972972972973,0.5436241610738255,1.0,0.3695652173913043,0.31575867311225386,0.009554140127388536,0.38026364230282866,0.40515701750197597,0.5955474705474704,0.7940817571690053,0.40998970259317524
L_precentral,Frontal,L,Cortical,31,0.38271604938271603,249.12322172092607,0.02191358024691358,5.107388250331756,0.1363384933952392,0.5586206896551724,0.44505494505494503,0.9629629629629629,0.5434782608695652,0.5934937041298739,0.22611464968152867,0.6796117731444294,0.6426005554965605,0.641025641025641,0.36781968031968015,0.5277348949524684
L_precuneus,Parietal,L,Cortical,36,0.4444444444444444,273.33380499935026,0.028703703703703703,5.367316055818841,0.14902361566024813,0.5912408759124088,0.5192307692307693,0.9876543209876543,0.6521739130434783,0.6629327488406089,0.29617834394904463,0.7817778287035059,0.7113527615025483,0.772038180797305,0.6885926573426574,0.6521494905970212
L_rostralanteriorcingulate,Cingulate,L,Cortical,26,0.32098765432098764,161.66384708565914,0.0,4.256748581992489,0.08789273539272861,0.5785714285714286,0.5704225352112676,1.0,0.43478260869565216,0.342649048475361,0.0,0.34526316640938776,0.38002896456341656,0.7211538461538463,0.9099711907810498,0.44769268929695905
L_rostralmiddlefrontal,Frontal,L,Cortical,37,0.4567901234567901,286.2510555907002,0.032407407407407406,5.277629750325371,0.15674596367682114,0.6183206106870229,0.5547945205479452,0.9876543209876543,0.6739130434782609,0.6999810731637931,0.33439490445859876,0.7465261323612713,0.7532071836037755,0.8807985907222549,0.842387920298879,0.7044584068695476
L_superiorfrontal,Frontal,L,Cortical,44,0.5432098765432098,369.6153559252655,0.06419753086419754,5.842860449613868,0.19775379396463408,0.648,0.5472972972972973,0.9382716049382716,0.8260869565217391,0.9390805327530126,0.6624203821656052,0.9686931718551413,0.9754658845374962,1.0,0.8099662162162159,0.8831018777213158
L_superiorparietal,Parietal,L,Cortical,45,0.5555555555555556,352.8551313959698,0.06388888888888888,5.703923869793104,0.18090561791890353,0.5664335664335665,0.46285714285714286,0.9876543209876543,0.8478260869565218,0.8910100683999759,0.6592356687898089,0.9140833839313113,0.8841503066406677,0.6724045185583647,0.4448051948051947,0.7590736040116921
L_superiortemporal,Temporal,L,Cortical,26,0.32098765432098764,198.2430290233546,0.0070987654320987656,4.395801461791879,0.0950084710413379,0.4909090909090909,0.45251396648044695,0.9876543209876543,0.43478260869565216,0.4475628137012218,0.07324840764331211,0.3999186666803657,0.41859560294315257,0.369075369075369,0.40007618080243784,0.36332280707735876
L_supramarginal,Parietal,L,Cortical,20,0.24691358024691357,156.75565514115038,0.002777777777777778,4.5751088922940255,0.0815183049253309,0.525974025974026,0.4909090909090909,0.9876543209876543,0.30434782608695654,0.3285717271665703,0.02866242038216561,0.47039643981629026,0.34548013267124994,0.5099067599067598,0.5661157024793387,0.36478300121561874
L_frontalpole,Frontal,L,Cortical,14,0.1728395061728395,98.20867239328055,0.0,4.111547691722494,0.05921709540554022,0.50625,0.47368421052631576,1.0,0.17391304347826086,0.16065150376860776,0.0,0.28819115676135226,0.22460961057019513,0.4306891025641024,0.491626794258373,0.25281160162869876
L_temporalpole,Temporal,L,Cortical,20,0.24691358024691357,126.8584052390693,0.0006172839506172839,3.928054687871354,0.06596681290309933,0.5364238410596026,0.43783783783783786,0.9876543209876543,0.30434782608695654,0.24282259635034853,0.006369426751592357,0.21606822096759445,0.2611924639459547,0.551876379690949,0.3366093366093367,0.2741837500575332
